"Ticker","Nome","Negócios","Última (R$)","Variação"
"JALL3","Jalles Machado","2.587.300","7,53","-1,57%"
"BPAN4","Banco Pan","2.518.900","9,21","-2,23%"
"JHSF3","JHSF","2.502.200","4,68","-2,30%"
"GUAR3","Guararapes","2.458.900","8,17","-2,27%"
"EZTC3","EZTEC","2.388.000","15,00","-3,16%"
"SRNA3","SRNA3","2.322.000","9,16","-2,35%"
"POSI3","Positivo","2.260.700","9,99","-2,73%"
"KRSA3","Kora Saúde","2.167.700","0,76","-3,80%"
"CPFE3","CPFL Energia","2.092.300","35,71","-1,90%"
"VIVT3","Vivo","2.049.600","50,47","-0,90%"
"CURY3","Cury","1.861.000","20,08","-2,76%"
"SAPR4","Sanepar","1.850.000","5,16","-1,15%"
"SMTO3","São Martinho","1.789.300","31,30","-1,23%"
"JSLG3","JSL","1.712.200","13,16","-5,26%"
"SMFT3","Smart Fit","1.698.100","26,05","-1,96%"
"AZEV3","Azevedo & Travassos","1.689.700","1,75","+8,02%"
"EGIE3","Engie","1.675.200","41,50","-3,08%"
"BRSR6","Banrisul","1.670.100","13,34","-0,74%"
"CSMG3","COPASA","1.640.800","21,75","+0,05%"
"AERI3","Aeris Energy","1.527.300","0,60","-3,23%"
"AESB3","AES Brasil","1.487.600","9,69","-1,92%"
"MEAL3","IMC Alimentação","1.485.800","1,68","+2,44%"
"TRAD3","Traders Club","1.484.900","0,94","-6,00%"
"INTB3","Intelbras","1.408.300","18,80","-3,04%"
"DIRR3","Direcional","1.389.400","25,00","-2,50%"
"PSSA3","Porto Seguro","1.373.800","30,98","-0,55%"
"AMBP3","Ambipar","1.360.800","13,33","-2,84%"
"EVEN3","Even","1.346.000","7,97","-0,99%"
"ELET6","Eletrobras","1.313.100","45,65","-1,64%"
"VVEO3","Viveo","1.263.200","6,85","-2,28%"
"GRND3","Grendene","1.261.900","6,38","-1,69%"
"IRBR3","IRB Brasil RE","1.251.700","40,82","-1,76%"
"CLSA3","ClearSale","1.241.000","6,34","-0,47%"
"KLBN4","Klabin","1.228.100","5,02","-0,99%"
"PDGR3","PDG Realty","1.161.100","0,30","-3,23%"
"ENJU3","Enjoei","1.120.900","2,00","+1,01%"
"CASH3","Méliuz","1.084.100","4,56","-0,65%"
"RCSL4","Recrusul","1.080.000","0,63","-3,08%"
"RAPT4","Randon","1.050.400","13,32","-0,97%"
"FESA4","Ferbasa","1.048.200","9,00","+1,35%"
"MBLY3","Mobly","1.004.000","2,37","-2,47%"
"MTRE3","Mitre Realty","990.800","5,10","-3,04%"
"VULC3","Vulcabras","930.900","16,93","-1,46%"
"MATD3","Mater Dei","841.800","5,81","+0,52%"
"ESPA3","Espaçolaser","841.100","0,98","-2,97%"
"ZAMP3","Zamp","808.900","3,20","-1,84%"
"CAML3","Camil Alimentos","773.800","8,59","-1,04%"
"MYPK3","Iochpe-Maxion","761.800","13,98","-2,10%"
"TTEN3","3tentos","747.500","10,49","-1,87%"
"RANI3","Irani","745.300","9,45","-1,87%"
"LIGT3","Light","728.000","5,09","-1,17%"
"AMAR3","Lojas Marisa","727.200","1,67","-5,65%"
"POMO3","Marcopolo","696.100","5,94","+0,68%"
"OPCT3","OceanPact","689.900","6,19","+0,00%"
"PINE4","PINE","677.800","4,46","-3,04%"
"NEOE3","Neoenergia","666.900","20,84","-1,23%"
"MDIA3","M. Dias Branco","664.300","36,15","-0,80%"
"PGMN3","Pague Menos","644.600","2,70","-1,46%"
"PLPL3","Plano&Plano","639.100","13,44","-0,88%"
"ARML3","Armac","629.000","12,14","-2,25%"
"MILS3","Mills","605.000","13,37","-1,40%"
"TUPY3","Tupy","598.400","28,41","-2,20%"
"PORT3","Wilson Sons","586.600","17,63","-1,51%"
"CSED3","Cruzeiro do Sul Educacional","578.800","4,39","-2,01%"
"KEPL3","Kepler Weber","569.100","10,56","-2,04%"
"HBRE3","HBR Realty","568.700","5,83","-2,51%"
"TFCO4","Track & Field","536.900","11,89","-3,49%"
"CMIG3","CEMIG","536.200","15,10","-0,72%"
"PTBL3","Portobello","527.600","6,49","-1,37%"
"LAVV3","Lavvi Incorporadora","520.000","9,24","-2,84%"
"ABCB4","Banco ABC Brasil","514.200","24,34","-2,17%"
"LUPA3","Lupatech","486.500","1,74","-1,14%"
"SEER3","Ser Educacional","466.900","6,88","-1,71%"
"DASA3","Dasa","439.700","5,43","-4,06%"
"LAND3","Terra Santa","432.400","14,70","+13,16%"
"MDNE3","Moura Dubeux","431.200","13,79","-3,43%"
"LEVE3","Mahle Metal Leve","419.100","34,88","-1,64%"
"SANB4","Banco Santander","410.900","14,41","-3,74%"
"TRIS3","Trisul","409.600","5,41","-2,70%"
"RCSL3","Recrusul","403.000","1,60","-1,84%"
"SANB3","Banco Santander","400.000","12,85","-3,53%"
"VLID3","Valid","392.700","18,12","-3,72%"
"USIM3","Usiminas","378.800","9,62","-3,12%"
"NGRD3","Neogrid","377.500","1,06","+0,00%"
"HBOR3","Helbor","374.900","2,90","-2,68%"
"TCSA3","Tecnisa","348.300","2,80","-2,44%"
"VITT3","Vittia","348.000","6,45","-1,38%"
"SHUL4","Schulz","346.300","6,70","-2,19%"
"PRNR3","Priner","344.900","13,66","+0,96%"
"BRIT3","Brisanet","342.000","4,23","-1,40%"
"WIZC3","Wiz Soluções","324.300","7,16","-2,45%"
"BLAU3","Blau Farmacêutica","323.100","12,10","+1,00%"
"TASA4","Taurus","310.700","13,01","-0,99%"
"AGXY3","AgroGalaxy","309.200","2,01","-4,29%"
"SOJA3","Boa Safra Sementes","302.400","16,90","-2,87%"
"PNVL3","Dimed","291.300","11,90","-2,30%"
"BMOB3","Bemobi","281.000","13,15","-2,23%"
"ORVR3","Orizon","266.700","37,40","-3,51%"
"SYNE3","SYN","265.500","8,81","-1,78%"
"FIQE3","Unifique","264.400","3,99","-2,68%"
"BMGB4","Banco BMG","257.300","3,45","-1,15%"
"ITUB3","Itaú Unibanco","256.100","28,45","-2,03%"
"SAPR3","Sanepar","252.500","4,90","-1,61%"
"UNIP6","Unipar","244.800","64,81","-0,98%"
"KLBN3","Klabin","239.300","4,99","-0,40%"
"JFEN3","João Fortes","231.600","1,81","-2,69%"
"AGRO3","BrasilAgro","223.400","24,99","-1,96%"
"FRAS3","Fras-le","218.800","17,97","-0,88%"
"LOGG3","LOG CP","218.600","22,25","-1,68%"
"TGMA3","Tegma","207.200","26,65","-2,20%"
"TECN3","Technos","207.200","4,29","-6,13%"
"ROMI3","Indústrias ROMI","199.400","12,40","-0,80%"
"ALPK3","Estapar","188.200","4,68","+2,41%"
"PFRM3","Profarma","175.100","5,36","-2,72%"
"MELK3","Melnick","161.800","4,88","-0,20%"
"ETER3","Eternit","156.100","7,55","-1,05%"
"ITSA3","Itaúsa","150.900","10,02","-1,47%"
"TAEE4","Taesa","146.600","12,17","-0,81%"
"AALR3","Alliança","143.600","9,96","+2,36%"
"DMVF3","D1000 Varejo Farma","132.900","6,71","-1,32%"
"ALLD3","Allied","123.400","9,56","+0,42%"
"SHOW3","Time For Fun","116.900","2,79","-1,06%"
"RSID3","Rossi Residencial","107.000","4,10","-0,97%"
"RNEW4","Renova Energia","92.700","1,12","+0,00%"
"BRAP3","Bradespar","89.900","20,30","-1,60%"
"EUCA4","Eucatex","83.700","16,73","-4,29%"
"PMAM3","Paranapanema","82.200","3,01","+0,33%"
"SGPS3","Springs","80.700","0,80","+0,00%"
"DESK3","Desktop","80.000","15,13","-3,57%"
"VIVR3","Viver","80.000","3,09","+0,00%"
"TPIS3","Triunfo","76.900","3,88","-0,77%"
"OIBR4","Oi","73.800","1,85","+0,00%"
"TAEE3","Taesa","69.500","12,03","-0,58%"
"WHRL4","Whirlpool","67.000","4,65","-1,27%"
"CSUD3","CSU Cardsystem","61.100","19,45","-1,77%"
"INEP4","Inepar","60.500","3,11","+0,32%"
"DEXP3","Dexxos","57.300","11,35","-1,22%"
"IGTI3","Iguatemi","56.700","3,23","-0,31%"
"IGTI3","Jereissati Participações","56.700","3,23","-0,31%"
"PDTC3","Padtec","55.800","2,51","+0,40%"
"INEP3","Inepar","51.100","3,75","+2,18%"
"ALUP4","Alupar","49.700","9,93","-2,07%"
"CAMB3","Cambuci","48.000","10,99","+1,29%"
"LPSB3","Lopes","47.200","2,14","-2,73%"
"ELMD3","Eletromidia","45.400","18,50","-3,65%"
"MGEL4","Mangels","44.100","18,50","+5,11%"
"WHRL3","Whirlpool","43.800","4,97","+5,97%"
"GGBR3","Gerdau","41.900","20,52","-0,19%"
"RNEW3","Renova Energia","33.600","1,14","+0,00%"
"LOGN3","Log-In","31.700","36,40","-2,15%"
"GOAU3","Metalúrgica Gerdau","28.200","10,85","-0,09%"
"ALUP3","Alupar","27.900","10,29","-3,11%"
"DOTZ3","Dotz","24.700","5,52","+6,56%"
"ATOM3","ATOM","22.900","2,02","+0,00%"
"BIOM3","Biomm","21.700","10,18","-1,55%"
"CLSC4","Celesc","20.200","66,10","-2,78%"
"ENGI4","Energisa","20.100","8,03","-2,55%"
"UNIP3","Unipar","19.600","60,39","-0,92%"
"MAPT4","Cemepe","17.300","6,22","-8,53%"
"RAPT3","Randon","16.800","11,19","-1,15%"
"LVTC3","WDC Networks","16.600","3,84","+0,79%"
"CTNM4","Coteminas","16.500","1,17","+0,00%"
"EPAR3","Embpar Participações","15.400","7,61","-2,19%"
"BPAC5","Banco BTG Pactual","14.200","8,75","-3,10%"
"EALT4","Electro Aço Altona","14.100","10,68","-2,02%"
"NUTR3","Nutriplant","14.100","5,19","+1,76%"
"WEST3","Westwing","14.000","1,29","-0,77%"
